employee_id,week,tasks_assigned,tasks_completed,missed_deadlines,meeting_hours,collaboration_score,engagement_score,learning_hours,burnout_risk
E008,5,21,21,0,13,0.64,0.91,2.6,Medium
E008,6,17,16,1,11,0.66,0.88,1.7,Low
E008,7,17,16,1,7,0.72,0.81,1.9,High
E008,8,16,16,0,12,0.74,0.87,2.1,Low
E008,9,16,14,2,10,0.77,0.9,0.1,Low
E008,10,23,23,0,10,0.77,0.82,0.0,Low
E008,11,14,12,2,12,0.79,0.89,1.9,Low
E008,12,16,14,2,17,0.66,0.85,1.4,Low
E009,1,22,22,0,10,0.74,0.92,1.4,Low
E009,2,24,24,0,9,0.59,0.95,1.5,Low
E009,3,26,24,2,9,0.59,0.98,1.3,High
E009,4,23,23,0,10,0.55,0.93,2.2,Medium
E009,5,27,25,2,10,0.65,0.96,2.3,Low
E009,6,28,26,2,5,0.62,0.94,2.4,Medium
E009,7,25,23,2,9,0.5,1.0,2.8,Medium
E009,8,22,21,1,9,0.6,0.98,3.9,Low
E009,9,24,23,1,9,0.66,1.0,1.1,Low
E009,10,24,23,1,8,0.71,0.93,1.9,Low
E009,11,19,19,0,10,0.61,0.9,1.2,Low
E009,12,24,22,2,11,0.6,0.95,1.5,Low
E010,1,17,16,1,8,0.77,0.73,4.3,Low
E010,2,23,23,0,9,0.77,0.81,4.3,Low
E010,3,16,16,0,10,0.89,0.82,3.1,High
E010,4,17,17,0,7,0.79,0.83,5.1,Low
E010,5,15,13,2,6,0.79,0.84,5.2,Low
E010,6,16,16,0,6,0.83,0.9,3.9,Low
E010,7,17,15,2,9,0.8,0.93,3.9,Low
E010,8,14,12,2,8,0.74,0.9,3.4,Low
E010,9,16,15,1,6,0.76,0.88,3.3,Low
E010,10,17,17,0,6,0.77,0.81,2.5,Low
E010,11,20,19,1,7,0.79,0.82,4.1,Medium
E010,12,16,14,2,10,0.68,0.75,2.9,Low
E011,1,19,18,1,8,0.65,0.79,5.5,Low
E011,2,15,13,2,8,0.59,0.72,4.8,Low
E011,3,17,16,1,8,0.71,0.77,4.0,Low
E011,4,17,15,2,3,0.73,0.68,3.5,Low
E011,5,22,22,0,3,0.71,0.71,5.3,Low
E011,6,19,17,2,8,0.65,0.73,5.7,High
E011,7,24,22,2,8,0.68,0.69,3.3,Medium
E011,8,19,19,0,5,0.61,0.76,3.3,Low
E011,9,20,20,0,3,0.74,0.74,3.4,Low
E011,10,18,16,2,10,0.73,0.7,4.8,Low
E011,11,19,18,1,8,0.62,0.75,4.8,Low
E011,12,18,16,2,7,0.64,0.79,4.2,Low
E012,1,21,21,0,12,0.78,0.73,3.6,Low
E012,2,20,20,0,17,0.77,0.88,2.6,Low
E012,3,20,18,2,15,0.72,0.93,4.3,High
E012,4,19,19,0,9,0.76,0.87,3.4,Low
E012,5,22,20,2,13,0.81,0.89,4.7,Low
E012,6,23,23,0,12,0.78,0.83,2.0,Medium
E012,7,18,17,1,14,0.84,0.8,4.7,Low
E012,8,15,13,2,12,0.75,0.8,3.0,Low
E012,9,21,20,1,11,0.76,0.83,3.7,Low
E012,10,17,17,0,14,0.81,0.69,4.0,Low
E012,11,20,18,2,13,0.77,0.87,2.8,Low
E012,12,23,23,0,17,0.74,0.79,1.8,Medium
E013,1,19,18,1,10,0.71,0.84,0.0,Low
E013,2,23,23,0,9,0.74,0.91,0.0,Medium
E013,3,24,23,1,11,0.82,0.96,0.0,Low
E013,4,23,22,1,10,0.75,0.91,1.2,Low
E013,5,23,22,1,8,0.67,0.89,0.0,Low
E013,6,29,29,0,11,0.74,0.85,0.0,High
E013,7,27,26,1,12,0.75,0.94,0.0,Low
E013,8,21,21,0,11,0.77,0.92,2.0,Low
E013,9,22,20,2,9,0.76,0.85,0.9,Low
E013,10,23,21,2,13,0.7,0.8,0.5,Low
E013,11,23,23,0,11,0.74,0.87,0.0,High
E013,12,21,21,0,13,0.83,0.85,0.5,Low
E014,1,26,24,2,11,0.57,0.95,1.3,Low
E014,2,20,18,2,12,0.62,0.97,0.4,Low
E014,3,21,21,0,12,0.59,0.92,1.7,High
E014,4,21,20,1,12,0.7,0.88,2.6,Low
E014,5,26,24,2,16,0.67,0.88,0.5,Medium
E014,6,21,21,0,15,0.61,0.95,0.1,Low
E014,7,22,20,2,14,0.6,0.85,0.5,Medium
E014,8,25,23,2,9,0.58,0.96,0.0,Low
E014,9,22,22,0,14,0.55,0.98,0.6,Medium
E014,10,26,25,1,12,0.55,0.89,0.7,Medium
E014,11,22,21,1,14,0.67,0.93,0.0,Low
E014,12,23,23,0,10,0.64,0.83,1.0,Medium
E015,1,23,22,1,9,0.82,0.82,3.2,Low
E015,2,17,17,0,11,0.74,0.83,2.2,Low
E015,3,17,17,0,9,0.69,0.85,2.4,High
E015,4,15,15,0,9,0.75,0.88,1.2,Low
E015,5,20,20,0,10,0.79,0.87,2.6,Low
E015,6,21,20,1,11,0.76,0.95,2.0,Low
E015,7,24,23,1,12,0.8,0.81,3.9,Medium
E015,8,20,18,2,11,0.78,0.83,4.3,Low
E015,9,16,15,1,12,0.65,0.82,2.8,Low
E015,10,22,20,2,7,0.76,0.82,5.3,Low
E015,11,19,19,0,8,0.68,0.76,2.6,Low
E015,12,21,21,0,10,0.75,0.89,2.9,Low
E016,1,21,20,1,9,0.93,0.87,1.3,Low
E016,2,19,17,2,8,0.93,0.81,2.6,Low
E016,3,22,20,2,6,0.79,0.92,0.0,High
E016,4,22,21,1,2,0.86,0.84,3.3,Medium
E016,5,17,16,1,6,0.87,0.81,1.3,Low
E016,6,18,16,2,3,0.92,0.82,2.5,Low
E016,7,21,19,2,6,0.85,0.89,1.6,Low
E016,8,18,17,1,5,0.8,0.87,2.3,Medium
E016,9,20,20,0,3,0.78,0.9,3.7,Medium
E016,10,22,20,2,5,0.88,0.83,1.6,Medium
E016,11,22,21,1,4,0.9,0.84,2.3,Medium
E016,12,18,17,1,4,0.94,0.94,2.0,Low
E017,1,11,10,1,18,0.85,0.86,2.9,Low
E017,2,13,12,1,14,0.75,0.89,1.7,Low
E017,3,15,14,1,12,0.84,0.93,1.8,High
E017,4,16,16,0,15,0.85,0.95,1.1,Low
E017,5,19,18,1,10,0.74,0.89,0.7,Low
E017,6,17,17,0,15,0.78,0.93,3.7,Medium
E017,7,17,17,0,13,0.84,0.91,1.9,Medium
E017,8,17,17,0,12,0.8,0.91,2.3,Low
E017,9,13,11,2,10,0.69,0.97,4.5,Low
E017,10,18,18,0,12,0.79,0.86,2.6,Medium
E017,11,18,18,0,14,0.84,0.9,0.0,Low
E017,12,20,20,0,13,0.73,0.91,0.6,Medium
E018,1,20,18,2,12,0.76,0.96,2.5,Low
E018,2,18,16,2,9,0.78,0.84,1.6,Low
E018,3,22,20,2,8,0.78,0.89,1.9,Low
E018,4,24,24,0,8,0.81,0.91,1.6,Medium
E018,5,21,19,2,7,0.87,0.85,1.8,Low
E018,6,20,19,1,8,0.83,0.9,2.7,Low
E018,7,23,22,1,10,0.89,0.9,1.5,Low
E018,8,21,21,0,7,0.79,0.84,3.5,Low
E018,9,20,19,1,12,0.85,0.91,2.4,Low
E018,10,18,18,0,11,0.79,0.86,3.1,Low
E018,11,23,21,2,13,0.8,0.81,2.5,Medium
E018,12,26,25,1,11,0.75,0.85,4.5,High
E019,1,21,20,1,11,0.82,0.96,1.5,Low
E019,2,18,16,2,9,0.75,1.0,0.0,Low
E019,3,23,23,0,12,0.82,0.92,1.3,Low
E019,4,17,15,2,9,0.83,1.0,0.0,Low
E019,5,24,23,1,13,0.85,0.86,2.0,Medium
E019,6,22,20,2,11,0.81,1.0,0.3,Low
E019,7,23,21,2,10,0.75,0.93,1.9,High
E019,8,21,21,0,12,0.79,0.97,1.0,Low
E019,9,21,20,1,17,0.77,0.89,0.0,Low
E019,10,18,18,0,9,0.83,0.89,0.0,Low
E019,11,21,19,2,17,0.83,1.0,0.0,Low
E019,12,23,21,2,14,0.69,1.0,1.7,Medium
E020,1,23,22,1,8,0.64,0.76,3.9,Low
E020,2,24,23,1,11,0.56,0.73,5.0,Low
E020,3,22,22,0,10,0.65,0.78,4.0,High
E020,4,24,24,0,11,0.62,0.67,5.4,Medium
E020,5,26,25,1,5,0.61,0.75,3.5,Low
E020,6,23,23,0,8,0.69,0.78,3.2,Low
E020,7,27,27,0,12,0.61,0.72,4.6,Low
E020,8,21,20,1,7,0.63,0.75,5.1,Low
E020,9,22,21,1,7,0.67,0.79,3.5,Low
E020,10,18,17,1,10,0.71,0.7,4.7,Low
E020,11,20,19,1,12,0.59,0.75,2.1,Low
E020,12,28,26,2,9,0.67,0.81,4.6,Low
E021,1,18,18,0,8,0.69,1.0,1.3,Low
E021,2,17,16,1,11,0.68,0.94,2.0,Low
E021,3,16,16,0,5,0.69,0.95,0.0,High
E021,4,18,18,0,8,0.71,0.99,1.2,Low
E021,5,13,11,2,10,0.67,0.87,1.3,Low
E021,6,20,18,2,12,0.75,0.99,0.0,Low
E021,7,15,14,1,13,0.71,0.93,0.6,Low
E021,8,19,17,2,12,0.81,0.98,1.3,Low
E021,9,16,14,2,10,0.73,0.89,0.4,Low
E021,10,16,15,1,14,0.66,0.93,0.4,Medium
E021,11,18,16,2,11,0.66,1.0,0.3,Low
E021,12,19,17,2,11,0.68,1.0,0.5,Medium
E022,1,20,20,0,12,0.63,0.73,1.0,Low
E022,2,22,21,1,11,0.58,0.74,2.3,Low
E022,3,26,24,2,13,0.68,0.63,2.4,High
E022,4,22,20,2,10,0.71,0.72,0.4,Low
E022,5,23,21,2,12,0.72,0.69,1.9,Medium
E022,6,19,18,1,8,0.68,0.77,1.0,Low
E022,7,21,20,1,11,0.67,0.73,2.4,Low
E022,8,24,22,2,10,0.72,0.66,1.6,Medium
E022,9,25,24,1,8,0.67,0.76,0.2,Low
E022,10,18,16,2,13,0.63,0.72,0.8,Low
E022,11,26,26,0,10,0.73,0.81,3.7,Low
E022,12,24,23,1,14,0.73,0.66,2.0,Low
E023,1,19,17,2,13,0.77,0.94,2.0,Low
E023,2,21,19,2,15,0.86,0.85,2.0,Low
E023,3,21,19,2,18,0.8,0.85,2.2,High
E023,4,24,24,0,14,0.81,0.92,1.7,Low
E023,5,25,24,1,17,0.72,0.91,3.6,Medium
E023,6,21,21,0,11,0.67,0.93,2.5,Low
E023,7,23,22,1,16,0.81,0.99,4.2,Low
E023,8,21,20,1,13,0.76,0.89,3.4,Low
E023,9,20,19,1,12,0.77,0.85,2.3,Low
E023,10,25,25,0,12,0.79,0.95,4.6,Medium
E023,11,19,17,2,11,0.85,0.88,2.7,Low
E023,12,23,21,2,16,0.79,0.92,3.8,Low
E024,1,17,15,2,11,0.9,0.75,2.8,Low
E024,2,18,17,1,12,0.98,0.75,3.0,Low
E024,3,19,19,0,14,0.92,0.77,3.8,Low
E024,4,18,18,0,11,0.92,0.72,4.8,Medium
E024,5,19,19,0,12,0.87,0.84,5.4,Medium
E024,6,16,15,1,15,0.86,0.72,2.8,Low
E024,7,14,14,0,13,0.87,0.69,3.7,Low
E024,8,22,22,0,12,0.92,0.82,4.0,Medium
E024,9,22,21,1,18,0.83,0.69,4.9,High
E024,10,18,16,2,16,0.92,0.8,3.1,Low
E024,11,15,15,0,14,0.99,0.79,3.2,Low
E024,12,21,20,1,11,0.9,0.79,4.3,Low
E025,1,26,24,2,7,0.66,0.95,2.9,Low
E025,2,18,17,1,5,0.77,0.92,1.1,Low
E025,3,21,20,1,5,0.65,0.91,0.9,High
E025,4,20,20,0,5,0.65,0.95,0.6,Low
E025,5,21,21,0,6,0.77,0.92,0.0,Low
E025,6,19,18,1,7,0.71,0.84,1.0,Low
E025,7,19,18,1,10,0.68,0.82,1.6,Low
E025,8,23,22,1,8,0.74,0.9,1.5,Medium
E025,9,20,18,2,5,0.72,0.91,1.4,Low
E025,10,20,18,2,6,0.68,0.91,1.3,Low
E025,11,19,19,0,6,0.76,0.86,1.6,Low
E025,12,22,22,0,7,0.75,0.91,0.0,Low
E026,1,19,19,0,10,0.7,0.75,1.6,Low
E026,2,21,19,2,9,0.76,0.78,4.1,Low
E026,3,21,19,2,12,0.73,0.82,1.8,High
E026,4,19,19,0,4,0.7,0.65,2.8,Low
E026,5,22,20,2,6,0.76,0.82,2.0,Low
E026,6,19,19,0,6,0.63,0.77,1.4,Low
E026,7,23,23,0,9,0.67,0.74,3.0,Medium
E026,8,21,21,0,5,0.71,0.68,1.6,Low
E026,9,22,20,2,7,0.72,0.65,1.8,Medium
E026,10,18,18,0,7,0.63,0.78,1.8,Low
E026,11,21,19,2,8,0.7,0.63,2.5,Low
E026,12,17,17,0,12,0.68,0.79,2.2,Low
E027,1,15,14,1,14,0.59,0.72,2.5,Low
E027,2,13,13,0,10,0.62,0.73,0.0,Low
E027,3,14,12,2,14,0.61,0.7,3.2,High
E027,4,13,13,0,13,0.69,0.77,1.2,Low
E027,5,15,14,1,10,0.65,0.67,2.3,Medium
E027,6,17,17,0,11,0.56,0.72,1.8,Medium
E027,7,14,12,2,10,0.7,0.67,2.5,Medium
E027,8,15,15,0,12,0.65,0.75,2.3,Low
E027,9,15,14,1,10,0.61,0.72,1.6,Low
E027,10,11,11,0,13,0.6,0.7,2.3,Low
E027,11,17,16,1,11,0.63,0.77,3.5,Medium
E027,12,13,11,2,14,0.62,0.66,2.2,Low
E028,1,18,17,1,3,0.84,0.93,2.7,Low
E028,2,12,11,1,6,0.8,0.88,1.7,Low
E028,3,17,15,2,6,0.83,0.92,0.5,High
E028,4,15,14,1,7,0.92,0.94,3.3,Low
E028,5,15,15,0,7,0.85,0.87,2.2,Low
E028,6,16,14,2,3,0.78,0.89,1.7,Low
E028,7,14,13,1,6,0.89,0.91,3.3,Low
E028,8,17,17,0,7,0.82,0.93,2.6,Medium
E028,9,14,14,0,7,0.85,0.99,1.1,Low
E028,10,15,13,2,7,0.79,0.87,2.9,Medium
E028,11,17,17,0,9,0.8,0.94,4.2,Low
E028,12,15,13,2,8,0.82,0.88,3.2,Medium
E029,1,20,20,0,12,0.76,0.83,3.9,Low
E029,2,23,22,1,13,0.82,0.83,3.3,Low
E029,3,21,20,1,12,0.83,0.76,3.6,High
E029,4,20,19,1,9,0.9,0.77,3.0,Low
E029,5,18,16,2,15,0.83,0.85,4.2,Low
E029,6,20,18,2,15,0.82,0.84,5.1,Low
E029,7,22,20,2,12,0.78,0.77,4.4,Medium
E029,8,18,17,1,16,0.83,0.86,4.8,Low
E029,9,19,18,1,11,0.9,0.77,5.1,Low
E029,10,20,18,2,11,0.88,0.84,4.4,Low
E029,11,20,20,0,11,0.86,0.84,4.0,Medium
E029,12,21,19,2,12,0.79,0.81,2.9,Medium
E030,1,18,17,1,7,0.8,0.9,1.3,Low
E030,2,18,17,1,8,0.73,0.85,3.6,Low
E030,3,19,19,0,8,0.77,0.92,2.5,High
E030,4,17,17,0,0,0.77,0.95,4.1,Low
E030,5,20,19,1,6,0.69,0.85,1.8,Medium
E030,6,17,16,1,4,0.77,0.82,3.8,Low
E030,7,16,15,1,6,0.79,0.9,2.2,Low
E030,8,16,16,0,7,0.76,0.84,3.0,Low
E030,9,21,21,0,5,0.77,0.81,3.1,Low
E030,10,22,21,1,6,0.81,0.85,3.6,Medium
E030,11,19,19,0,10,0.72,0.88,3.4,Medium
E030,12,19,19,0,7,0.77,0.83,2.6,Low
E031,1,17,17,0,8,0.74,0.71,3.1,Low
E031,2,18,18,0,9,0.78,0.69,2.3,Low
E031,3,16,15,1,11,0.83,0.66,0.2,Low
E031,4,18,16,2,7,0.76,0.69,3.8,Medium
E031,5,15,13,2,7,0.77,0.7,1.8,Low
E031,6,14,12,2,3,0.74,0.7,0.0,Low
E031,7,18,17,1,2,0.84,0.66,3.2,Low
E031,8,15,13,2,8,0.83,0.73,1.8,Low
E031,9,18,17,1,8,0.78,0.65,0.6,Medium
E031,10,14,12,2,2,0.81,0.76,0.4,Low
E031,11,18,18,0,8,0.71,0.67,1.7,High
E031,12,13,11,2,7,0.77,0.72,1.8,Low
E032,1,23,23,0,9,0.73,0.83,3.6,Low
E032,2,19,18,1,6,0.71,0.86,3.6,Low
E032,3,23,21,2,10,0.75,0.89,4.2,Low
E032,4,20,20,0,11,0.81,0.86,4.0,Low
E032,5,17,16,1,7,0.76,0.78,2.7,Low
E032,6,21,20,1,6,0.77,0.98,1.7,Low
E032,7,20,20,0,11,0.74,0.89,1.6,Low
E032,8,21,21,0,7,0.83,0.82,4.8,Low
E032,9,23,22,1,8,0.71,0.9,4.6,High
E032,10,23,21,2,9,0.81,0.89,3.8,Low
E032,11,22,20,2,4,0.7,0.89,4.1,Medium
E032,12,20,18,2,7,0.72,0.91,3.0,Low
E033,1,22,22,0,10,0.6,0.78,5.8,Low
E033,2,20,19,1,5,0.72,0.8,3.6,Low
E033,3,23,23,0,9,0.77,0.77,2.7,Low
E033,4,27,26,1,7,0.7,0.84,4.4,Low
E033,5,23,22,1,10,0.68,0.88,3.1,Medium
E033,6,23,23,0,6,0.64,0.78,4.7,Low
E033,7,21,20,1,10,0.69,0.83,5.9,Low
E033,8,23,21,2,10,0.63,0.83,5.8,Low
E033,9,20,18,2,8,0.68,0.83,6.3,Low
E033,10,28,28,0,9,0.56,0.76,3.6,High
E033,11,21,19,2,6,0.74,0.75,3.5,Low
E033,12,27,27,0,4,0.65,0.86,3.6,Medium
E034,1,19,19,0,9,0.65,0.84,4.2,Low
E034,2,13,13,0,14,0.64,0.98,3.0,Low
E034,3,16,16,0,13,0.67,0.95,4.0,High
E034,4,17,16,1,15,0.76,0.97,4.0,Low
E034,5,19,18,1,14,0.7,0.92,4.7,Medium
E034,6,14,14,0,13,0.75,0.95,5.7,Low
E034,7,16,14,2,14,0.78,0.76,4.8,Low
E034,8,16,16,0,12,0.73,0.96,3.0,Low
E034,9,17,17,0,15,0.59,0.99,3.9,Medium
E034,10,13,13,0,13,0.72,0.98,5.5,Low
E034,11,18,18,0,11,0.68,0.96,5.1,Medium
E034,12,20,18,2,12,0.72,0.84,4.4,Medium
E035,1,16,16,0,6,0.85,0.72,3.3,Low
E035,2,21,20,1,3,0.82,0.78,4.7,Low
E035,3,20,20,0,6,0.87,0.78,3.9,Low
E035,4,15,15,0,4,0.87,0.83,4.4,Low
E035,5,16,16,0,5,0.89,0.74,4.6,Low
E035,6,17,16,1,1,0.87,0.86,3.1,Low
E035,7,19,17,2,5,0.87,0.77,4.0,Medium
E035,8,22,20,2,2,0.92,0.85,3.2,Low
E035,9,20,20,0,8,0.8,0.82,4.3,High
E035,10,16,16,0,4,0.89,0.89,5.1,Low
E035,11,17,17,0,8,0.91,0.8,5.1,Low
E035,12,19,18,1,7,0.86,0.84,3.4,Low
E036,1,20,20,0,5,0.61,0.91,3.6,Low
E036,2,21,20,1,3,0.76,0.9,1.4,Low
E036,3,18,18,0,3,0.7,0.79,2.1,High
E036,4,17,16,1,2,0.69,0.87,2.5,Low
E036,5,16,15,1,4,0.77,0.76,2.6,Low
E036,6,18,18,0,5,0.79,0.8,1.9,Low
E036,7,21,21,0,4,0.8,0.87,2.7,Low
E036,8,20,19,1,6,0.76,0.86,0.0,Low
E036,9,18,17,1,5,0.8,0.84,1.6,Low
E036,10,19,18,1,4,0.74,0.93,2.0,Low
E036,11,21,19,2,6,0.74,0.92,0.0,Medium
E036,12,20,20,0,7,0.73,0.85,2.6,Medium
E037,1,20,18,2,7,0.67,0.84,4.0,Low
E037,2,21,19,2,9,0.71,0.77,4.1,Low
E037,3,18,18,0,9,0.78,0.76,2.3,Low
E037,4,16,16,0,10,0.74,0.73,2.6,Low
E037,5,19,17,2,6,0.7,0.71,1.1,Low
E037,6,22,20,2,7,0.65,0.85,1.7,Medium
E037,7,21,21,0,9,0.62,0.69,4.4,High
E037,8,21,19,2,7,0.73,0.82,0.6,Low
E037,9,20,18,2,9,0.71,0.74,2.2,Low
E037,10,19,18,1,6,0.7,0.83,3.6,Low
E037,11,22,20,2,11,0.7,0.75,4.6,Medium
E037,12,22,21,1,9,0.79,0.81,2.9,Low
E038,1,25,25,0,7,0.63,0.82,2.5,Low
E038,2,21,20,1,6,0.64,0.81,0.4,Low
E038,3,21,20,1,7,0.65,0.77,2.6,High
E038,4,21,19,2,4,0.56,0.76,2.0,Low
E038,5,26,25,1,6,0.67,0.76,3.8,Medium
E038,6,22,22,0,9,0.57,0.78,2.1,Medium
E038,7,25,25,0,2,0.71,0.71,3.3,Medium
E038,8,21,19,2,6,0.61,0.79,3.1,Low
E038,9,23,21,2,7,0.71,0.75,2.8,Medium
E038,10,25,24,1,6,0.58,0.72,3.6,Low
E038,11,21,21,0,4,0.62,0.7,2.7,Low
E038,12,24,22,2,11,0.71,0.76,1.6,Low
E039,1,25,23,2,7,0.82,0.86,1.9,Low
E039,2,19,18,1,7,0.82,0.84,3.3,Low
E039,3,21,20,1,5,0.84,0.88,2.3,High
E039,4,20,18,2,4,0.81,0.86,3.1,Low
E039,5,20,19,1,8,0.87,0.84,3.1,Low
E039,6,21,19,2,7,0.93,0.84,3.8,Low
E039,7,20,18,2,5,0.88,0.78,4.0,Low
E039,8,19,17,2,3,0.94,0.81,1.6,Low
E039,9,17,15,2,2,0.89,0.81,2.4,Low
E039,10,24,23,1,6,0.83,0.86,2.9,Medium
E039,11,18,18,0,3,0.86,0.92,2.4,Low
E039,12,15,14,1,7,0.93,0.78,2.9,Low
E040,1,14,12,2,11,0.91,0.79,3.9,Low
E040,2,15,13,2,8,0.88,0.71,6.4,Low
E040,3,17,16,1,11,0.87,0.71,2.6,High
E040,4,11,10,1,11,0.89,0.79,4.9,Low
E040,5,14,12,2,11,0.77,0.78,3.8,Low
E040,6,15,13,2,11,0.9,0.75,4.3,Low
E040,7,15,15,0,11,0.87,0.74,4.4,Medium
E040,8,15,15,0,11,0.9,0.73,5.1,Medium
E040,9,14,12,2,10,0.94,0.68,4.3,Low
E040,10,17,16,1,9,0.85,0.69,3.9,Medium
E040,11,12,11,1,10,0.85,0.69,5.0,Low
E040,12,16,16,0,10,0.88,0.77,4.0,Medium
E041,1,21,21,0,12,0.68,0.84,1.7,Low
E041,2,19,18,1,9,0.64,0.69,2.6,Low
E041,3,20,18,2,11,0.64,0.77,0.8,Low
E041,4,23,22,1,15,0.62,0.86,2.6,Medium
E041,5,22,20,2,12,0.71,0.78,0.0,Low
E041,6,25,25,0,5,0.57,0.74,2.8,High
E041,7,21,19,2,14,0.6,0.85,2.7,Low
E041,8,22,22,0,15,0.72,0.88,1.6,Low
E041,9,22,22,0,8,0.59,0.81,2.0,Low
E041,10,21,19,2,12,0.62,0.78,1.6,Low
E041,11,22,22,0,12,0.6,0.8,3.0,Low
E041,12,20,20,0,10,0.66,0.71,2.5,Low
E042,1,21,21,0,17,0.82,0.88,3.6,Low
